date;W1;FU1;FAO
31/12/2020;6.405;19.97117;115.95
30/11/2020;5.8025;19.67001;114.4
31/10/2020;5.985;19.03791;111.64
30/09/2020;5.78;18.50126;104.04
31/08/2020;5.4425;18.88387;98.98
31/07/2020;5.3125;18.63946;96.89
30/06/2020;4.9;18.9868;96.69
31/05/2020;5.2075;19.84613;97.46
30/04/2020;5.2975;20.66605;99.3
31/03/2020;5.6875;21.85776;97.72
29/02/2020;5.29;22.94869;99.39
31/01/2020;5.5375;24.22972;100.48
31/12/2019;5.5875;;97.21
30/11/2019;5.475;29.87046;95.37
31/10/2019;5.0875;29.69071;95.74
30/09/2019;4.9575;27.09835;91.58
31/08/2019;4.5125;25.85363;92.28
31/07/2019;4.8725;26.64305;97.25
30/06/2019;5.28;26.35401;98.74
31/05/2019;5.03;26.06741;94.13
30/04/2019;4.185;26.82741;94.5
31/03/2019;4.5775;24.4795;97.36
28/02/2019;4.525;23.37893;100.59
31/01/2019;5.165;23.89256;101.51
31/12/2018;5.0325;28.24652;100.92
30/11/2018;5.1575;26.14014;99.51
31/10/2018;5.005;25.60761;100.69
30/09/2018;5.09;24.43849;100.18
31/08/2018;5.185;22.84626;103.23
31/07/2018;5.5375;23.51883;98.23
30/06/2018;4.975;21.5115;100.57
31/05/2018;5.2625;22.20409;105.22
30/04/2018;5.125;21.00096;103.72
31/03/2018;4.51;20.19419;101.62
28/02/2018;4.845;22.26211;98.16
31/01/2018;4.5175;23.06503;94.95
31/12/2017;4.27;23.82873;92.42
30/11/2017;4.0925;23.3545;92.15
31/10/2017;4.185;23.43007;91.79
30/09/2017;4.4825;21.94338;92.12
31/08/2017;4.1025;22.98375;92.3
31/07/2017;4.745;22.20508;96.94
30/06/2017;5.11;22.26868;92.36
31/05/2017;4.2925;21.91772;88.29
30/04/2017;4.185;24.03738;86.9
31/03/2017;4.265;24.37407;87.87
28/02/2017;4.2475;22.96326;90
31/01/2017;4.2075;22.5871;88.68
31/12/2016;4.08;27.16384;86.15
30/11/2016;3.805;26.85255;85.96
31/10/2016;4.1625;25.89126;86.72
30/09/2016;4.02;23.57036;86.27
31/08/2016;3.61;22.59098;89.29
31/07/2016;4.0775;23.77263;90.4
30/06/2016;4.3125;23.23498;94.14
31/05/2016;4.645;23.48554;91.09
30/04/2016;4.78;23.43902;88.41
31/03/2016;4.735;23.11508;86.45
29/02/2016;4.45;20.49277;87.28
31/01/2016;4.7925;20.94279;87.55
31/12/2015;4.7;21.21283;89.44
30/11/2015;4.6;22.45022;90.46
31/10/2015;5.22;22.61852;91.7
30/09/2015;5.1275;18.25188;90.47
31/08/2015;4.825;18.02866;91.87
31/07/2015;4.9925;17.9593;98.93
30/06/2015;6.1475;19.17076;96.69
31/05/2015;4.77;19.76008;95.71
30/04/2015;4.67;19.97878;98.2
31/03/2015;5.1175;17.98298;99.51
28/02/2015;5.175;18.52308;101.59
31/01/2015;5.0275;19.87767;105.89
31/12/2014;5.8975;25.46461;110.86
30/11/2014;5.7725;26.70692;109.26
31/10/2014;5.325;25.76086;108.15
30/09/2014;4.7775;25.62363;107.39
31/08/2014;5.5025;24.41518;110.39
31/07/2014;5.3025;22.66061;112.18
30/06/2014;5.6475;23.116;118.75
31/05/2014;6.2725;22.0177;125.25
30/04/2014;7.13;22.173;125.49
31/03/2014;6.9725;22.20682;125.42
28/02/2014;5.99;22.2571;119.67
31/01/2014;5.5575;21.69223;117.01
31/12/2013;6.0525;23.39342;117.86
30/11/2013;6.55;21.65613;117.96
31/10/2013;6.675;20.71491;118.72
30/09/2013;6.785;19.98228;116.71
31/08/2013;6.4325;19.75383;119.23
31/07/2013;6.6425;19.83586;126.44
30/06/2013;6.485;22.56225;133.76
31/05/2013;7.055;23.22769;136.38
30/04/2013;7.2175;25.05359;134.85
31/03/2013;6.8775;24.45627;139.94
28/02/2013;7.0775;25.74949;142.28
31/01/2013;7.795;26.91911;145.18
31/12/2012;7.78;24.63953;146.4
30/11/2012;8.4475;27.01535;148.48
31/10/2012;8.645;24.21317;146.45
30/09/2012;9.025;22.50497;146.76
31/08/2012;8.7;22.81873;147.06
31/07/2012;8.8825;24.36047;143.9
30/06/2012;7.39;22.74651;125.33
31/05/2012;6.4375;23.78292;126.3
30/04/2012;6.4775;30.72032;129.11
31/03/2012;6.6075;31.45549;130.61
29/02/2012;6.6425;31.58216;131.14
31/01/2012;6.66;25.24977;127.24
31/12/2011;6.5275;22.98089;124.42
30/11/2011;5.9575;22.01895;130.9
31/10/2011;6.2825;22.79495;133.13
30/09/2011;6.0925;22.6809;140.48
31/08/2011;7.4525;25.5731;144.87
31/07/2011;6.725;29.99887;140.48
30/06/2011;5.8475;29.78456;147.13
31/05/2011;7.8225;31.22677;150.89
30/04/2011;7.6925;32.18817;151.73
31/03/2011;7.6325;25.25372;145.53
28/02/2011;7.825;27.85797;151.44
31/01/2011;8.4075;26.84529;144.9
31/12/2010;7.9425;25.46471;139.72
30/11/2010;6.5025;27.07491;132.39
31/10/2010;7.1725;28.09047;130.59
30/09/2010;6.74;28.22195;125.95
31/08/2010;6.525;25.65966;112.94
31/07/2010;6.615;24.5568;95.28
30/06/2010;4.6475;24.49384;87.8
31/05/2010;4.5775;24.35326;90.56
30/04/2010;4.9175;23.45037;90.66
31/03/2010;4.505;21.31702;91.77
28/02/2010;5.065;19.99783;93.97
31/01/2010;4.74;20.69406;98.36
31/12/2009;5.415;22.48993;99.05
30/11/2009;5.675;21.37287;98.02
31/10/2009;4.9425;22.05898;93.82
30/09/2009;4.575;18.1187;89.84
31/08/2009;4.71;18.30817;91.9
31/07/2009;5.2825;18.18049;94.46
30/06/2009;5.1125;18.55756;102.99
31/05/2009;6.3725;20.04033;103.31
30/04/2009;5.2425;18.80969;98.11
31/03/2009;5.3275;17.17946;97.21
28/02/2009;5.105;17.75518;97.21
31/01/2009;5.68;19.67327;100.37
31/12/2008;6.1075;19.1107;95.13
30/11/2008;5.425;20.73852;95.99
31/10/2008;5.3625;21.98584;104.93
30/09/2008;6.8;24.47059;125.33
31/08/2008;7.7925;27.0793;136.51
31/07/2008;7.8375;30.47305;148.21
30/06/2008;8.435;29.61329;160.29
31/05/2008;7.615;31.94978;157.44
30/04/2008;7.8725;27.17418;162.74
31/03/2008;9.29;28.39192;163.33
29/02/2008;10.73;25.97039;160.83
31/01/2008;9.295;25.6534;140.98
